price_change_pct,price_multiplier,quantity_change_pct,revenue_change_pct,baseline_revenue,scenario_revenue,revenue_change
-10.0,0.9,7.563040303940216,-3.193263726453803,725932554.4000001,702751613.4618254,-23180940.938174725
-5.0,0.95,3.613113150618852,-1.5675425069120883,725932554.4000001,714553253.0382674,-11379301.361732721
-2.0,0.98,1.4077955590648505,-0.620360352116452,725932554.4000001,721429156.6493963,-4503397.750603795
0.0,1.0,0.0,0.0,725932554.4000001,725932554.4000001,0.0
2.0,1.02,-1.360947800621437,0.611833243366123,725932554.4000001,730374051.0922362,4441496.692236066
5.0,1.05,-3.3198042548880036,1.5142055323675967,725932554.4000001,736924665.2999823,10992110.899982214
10.0,1.1,-6.382450316880995,2.9793046514309225,725932554.4000001,747560296.7594906,21627742.359490514
